model_name,classif_loss,prototypes,dloss,BER,fgsm,mcc,accuracy
resnet18,triplet,prototypes_no,euclidean,inverseTriplet,fgsm0,0.8660254037844386,0.9333333333333333
resnet18,softmax_contrastive,prototypes_no,cosine,none,fgsm0,0.7559289460184545,0.8666666666666667
resnet18,arcface,prototypes_class,none,none,fgsm0,0.7071067811865475,0.8666666666666667
resnet18,softmax_contrastive,prototypes_no,cosine,none,fgsm1,0.7071067811865475,0.8666666666666667
resnet18,triplet,prototypes_class,cosine,none,fgsm1,0.7,0.8666666666666667
resnet18,arcface,prototypes_class,cosine,inverseTriplet,fgsm0,0.7,0.8666666666666667
resnet18,triplet,prototypes_class,cosine,none,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,triplet,prototypes_no,euclidean,inverseTriplet,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,arcface,prototypes_class,cosine,inverseTriplet,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,softmax_contrastive,prototypes_no,cosine,none,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,arcface,prototypes_no,cosine,inverseTriplet,fgsm0,0.5773502691896257,0.8
resnet18,arcface,prototypes_class,none,none,fgsm0,0.5773502691896257,0.8
resnet18,arcface,prototypes_class,none,none,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,triplet,prototypes_no,cosine,inverseTriplet,fgsm1,0.5773502691896257,0.7333333333333333
resnet18,arcface,prototypes_class,none,none,fgsm0,0.5773502691896257,0.8
resnet18,arcface,prototypes_class,none,none,fgsm0,0.5773502691896257,0.8
resnet18,arcface,prototypes_class,none,none,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,triplet,prototypes_class,euclidean,inverseTriplet,fgsm0,0.5773502691896257,0.7333333333333333
resnet18,triplet,prototypes_no,cosine,none,fgsm1,0.5773502691896257,0.8
resnet18,softmax_contrastive,prototypes_no,cosine,none,fgsm0,0.5773502691896257,0.8
